_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.4,GO:0097237,cellular response to toxic substance,M1,1,0
1,-2.8,GO:0002685,regulation of leukocyte migration,M1,1,0
1,-4.3,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.5,GO:0035458,cellular response to interferon-beta,M1,1,0
1,-2.3,GO:0050870,positive regulation of T cell activation,M1,1,0
1,-2.7,GO:0045089,positive regulation of innate immune response,M1,1,0
1,-3.3,GO:0035456,response to interferon-beta,M1,1,0
1,-2.1,GO:0050864,regulation of B cell activation,M1,1,0
1,-3,GO:0050792,regulation of viral process,M1,1,0
1,-2.7,GO:0050867,positive regulation of cell activation,M1,1,0
1,-2.5,GO:0046597,negative regulation of viral entry into host cell,M1,1,0
1,-3,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),M1,1,0
1,-2.6,GO:0050727,regulation of inflammatory response,M1,1,0
1,-2,GO:0045444,fat cell differentiation,M1,1,0
1,-2.4,R-MMU-1474228,Degradation of the extracellular matrix,M1,1,0
1,-2.5,GO:0090025,regulation of monocyte chemotaxis,M1,1,0
1,-5.1,GO:0032680,regulation of tumor necrosis factor production,M1,1,0
1,-2.8,GO:1990748,cellular detoxification,M1,1,0
1,-3.2,GO:0043542,endothelial cell migration,M1,1,0
1,-3.3,GO:1903706,regulation of hemopoiesis,M1,1,0
