Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-5.5,3.4,5.8,21160,666,177,19,11,2.3,11501|12182|12487|12504|14191|14728|16842|17394|19373|19419|20555|20971|21825|57757|208154|240754|242248|246746|432628,Adam8|Bst1|Cd28|Cd4|Fgr|Lilrb4a|Lef1|Mmp8|Rag1|Rasgrp1|Slfn1|Sdc4|Thbs1|Pglyrp2|Btla|Lax1|Bank1|Cd300lf|Mfsd2b,-2.3,MyList
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-5.5,3.7,5.9,21160,545,177,17,9.6,2.2,11501|12487|12655|12796|13058|13861|14134|14191|15900|16182|17394|19074|19204|19419|21825|215257|246728,Adam8|Cd28|Chil3|Camp|Cybb|Epx|Fcnb|Fgr|Irf8|Il18r1|Mmp8|Prg2|Ptafr|Rasgrp1|Thbs1|Il36g|Oas2,-2.3,MyList
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-5.4,3.5,5.8,21160,610,177,18,10,2.3,11501|12182|12487|12504|14191|14728|16842|17394|19373|19419|20555|20971|21825|57757|208154|240754|242248|246746,Adam8|Bst1|Cd28|Cd4|Fgr|Lilrb4a|Lef1|Mmp8|Rag1|Rasgrp1|Slfn1|Sdc4|Thbs1|Pglyrp2|Btla|Lax1|Bank1|Cd300lf,-2.3,MyList
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-5.3,3.5,5.7,21160,621,177,18,10,2.3,11501|12487|12768|14134|14289|16016|17002|17084|17394|19419|20201|20202|21825|27226|233046|244183|246746|414084,Adam8|Cd28|Ccr1|Fcnb|Fpr2|Ighg2b|Ltf|Ly86|Mmp8|Rasgrp1|S100a8|S100a9|Thbs1|Pla2g7|Rasgrp4|Trim30b|Cd300lf|Tnip3,-2.2,MyList
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-5.1,3.7,5.7,21160,516,177,16,9,2.2,11492|11501|11687|12487|12504|14728|16842|19204|19373|19419|20555|20971|23939|208154|240754|432628,Adam19|Adam8|Alox15|Cd28|Cd4|Lilrb4a|Lef1|Ptafr|Rag1|Rasgrp1|Slfn1|Sdc4|Mapk7|Btla|Lax1|Mfsd2b,-2.1,MyList
GO Biological Processes,19,GO:0032680,regulation of tumor necrosis factor production,19_GO:0032501 multicellular organismal process,-5.1,6,6.5,21160,200,177,10,5.6,1.7,13058|14728|17002|17394|19204|19419|21825|26888|225884|246728,Cybb|Lilrb4a|Ltf|Mmp8|Ptafr|Rasgrp1|Thbs1|Clec4a2|Gstp3|Oas2,-2.1,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-5,3.2,5.4,21160,721,177,19,11,2.3,11501|12487|12504|14134|14289|16016|16182|17002|19204|19419|68891|216190|233046|238447|240754|244183|246746|404711|414084,Adam8|Cd28|Cd4|Fcnb|Fpr2|Ighg2b|Il18r1|Ltf|Ptafr|Rasgrp1|Cd177|Appl2|Rasgrp4|Igha|Lax1|Trim30b|Cd300lf|Ighg2c|Tnip3,-2,MyList
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-5,3.8,5.6,21160,473,177,15,8.5,2.1,12504|14728|16016|16071|16182|16842|18733|19373|20555|26888|208154|238447|240754|404711|780818,Cd4|Lilrb4a|Ighg2b|Igkc|Il18r1|Lef1|Pirb|Rag1|Slfn1|Clec4a2|Btla|Igha|Lax1|Ighg2c|Ighv11-2,-2,MyList
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-4.8,3.7,5.5,21160,485,177,15,8.5,2.1,12487|13861|14134|14191|14728|16016|16182|19074|19204|19419|20202|57757|68891|216190|233046,Cd28|Epx|Fcnb|Fgr|Lilrb4a|Ighg2b|Il18r1|Prg2|Ptafr|Rasgrp1|S100a9|Pglyrp2|Cd177|Appl2|Rasgrp4,-1.9,MyList
GO Biological Processes,19,GO:0032714,negative regulation of interleukin-5 production,19_GO:0048519 negative regulation of biological process,-4.7,51,12,21160,7,177,3,1.7,0.97,13861|14728|16842,Epx|Lilrb4a|Lef1,-1.8,MyList
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-4.6,3.3,5.2,21160,574,177,16,9,2.2,11687|12768|13861|14191|14728|17002|19074|20555|20971|21825|57757|208154|240754|242248|246746|380924,Alox15|Ccr1|Epx|Fgr|Lilrb4a|Ltf|Prg2|Slfn1|Sdc4|Thbs1|Pglyrp2|Btla|Lax1|Bank1|Cd300lf|Olfm4,-1.7,MyList
GO Biological Processes,19,GO:0097529,myeloid leukocyte migration,19_GO:0002376 immune system process,-4.5,6.6,6.2,21160,146,177,8,4.5,1.6,12768|12771|13861|17395|20201|20202|68891|245195,Ccr1|Ccr3|Epx|Mmp9|S100a8|S100a9|Cd177|Retnlg,-1.6,MyList
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-4.4,3.4,5.1,21160,530,177,15,8.5,2.1,11501|12182|12487|12504|14191|14728|16842|19373|19419|20555|20971|57757|208154|240754|242248,Adam8|Bst1|Cd28|Cd4|Fgr|Lilrb4a|Lef1|Rag1|Rasgrp1|Slfn1|Sdc4|Pglyrp2|Btla|Lax1|Bank1,-1.5,MyList
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-4.3,3.5,5.1,21160,473,177,14,7.9,2,11501|12487|14134|14289|16016|17002|17394|19419|20201|20202|233046|244183|246746|414084,Adam8|Cd28|Fcnb|Fpr2|Ighg2b|Ltf|Mmp8|Rasgrp1|S100a8|S100a9|Rasgrp4|Trim30b|Cd300lf|Tnip3,-1.5,MyList
GO Biological Processes,19,GO:0050900,leukocyte migration,19_GO:0002376 immune system process,-4.3,4.7,5.5,21160,252,177,10,5.6,1.7,11501|12768|12771|13861|17395|18089|20201|20202|68891|245195,Adam8|Ccr1|Ccr3|Epx|Mmp9|Nkx2-3|S100a8|S100a9|Cd177|Retnlg,-1.4,MyList
GO Biological Processes,19,GO:0030099,myeloid cell differentiation,19_GO:0032502 developmental process,-4.3,4,5.2,21160,361,177,12,6.8,1.9,11501|11656|12504|12768|15900|16842|17132|18089|18574|18733|19743|246746,Adam8|Alas2|Cd4|Ccr1|Irf8|Lef1|Maf|Nkx2-3|Pde1b|Pirb|Rhag|Cd300lf,-1.4,MyList
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-4.2,5.2,5.6,21160,206,177,9,5.1,1.7,14191|14728|20555|20971|57757|208154|240754|242248|246746,Fgr|Lilrb4a|Slfn1|Sdc4|Pglyrp2|Btla|Lax1|Bank1|Cd300lf,-1.4,MyList
GO Biological Processes,19,GO:0050764,regulation of phagocytosis,19_GO:0051179 localization,-4.2,7,6.1,21160,119,177,7,4,1.5,11687|14134|14191|14289|16016|216190|246746,Alox15|Fcnb|Fgr|Fpr2|Ighg2b|Appl2|Cd300lf,-1.4,MyList
GO Biological Processes,19,GO:0001818,negative regulation of cytokine production,19_GO:0048519 negative regulation of biological process,-4.1,4.1,5.2,21160,318,177,11,6.2,1.8,13861|14728|16842|17002|19074|21825|26888|57757|216190|225884|242248,Epx|Lilrb4a|Lef1|Ltf|Prg2|Thbs1|Clec4a2|Pglyrp2|Appl2|Gstp3|Bank1,-1.3,MyList
GO Biological Processes,19,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,19_GO:0048518 positive regulation of biological process,-4.1,6.7,5.9,21160,124,177,7,4,1.5,11501|13058|17394|19204|19419|21825|246728,Adam8|Cybb|Mmp8|Ptafr|Rasgrp1|Thbs1|Oas2,-1.3,MyList
GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.1,3.3,4.9,21160,501,177,14,7.9,2,11501|12768|14134|14191|14289|17002|19419|20201|20202|216190|233046|244183|246746|414084,Adam8|Ccr1|Fcnb|Fgr|Fpr2|Ltf|Rasgrp1|S100a8|S100a9|Appl2|Rasgrp4|Trim30b|Cd300lf|Tnip3,-1.3,MyList
GO Biological Processes,19,GO:0002699,positive regulation of immune effector process,19_GO:0002376 immune system process,-4.1,4.1,5.1,21160,322,177,11,6.2,1.8,12487|14134|14191|14728|16016|16182|19204|19419|68891|216190|233046,Cd28|Fcnb|Fgr|Lilrb4a|Ighg2b|Il18r1|Ptafr|Rasgrp1|Cd177|Appl2|Rasgrp4,-1.3,MyList
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0050789 regulation of biological process,-4,3.7,4.9,21160,387,177,12,6.8,1.9,11501|12487|12504|14728|16842|19204|19373|19419|20555|20971|208154|240754,Adam8|Cd28|Cd4|Lilrb4a|Lef1|Ptafr|Rag1|Rasgrp1|Slfn1|Sdc4|Btla|Lax1,-1.3,MyList
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-3.9,3.9,5,21160,334,177,11,6.2,1.8,11492|11501|11687|12487|12504|14728|16842|19204|19373|19419|432628,Adam19|Adam8|Alox15|Cd28|Cd4|Lilrb4a|Lef1|Ptafr|Rag1|Rasgrp1|Mfsd2b,-1.2,MyList
GO Biological Processes,19,GO:0061484,hematopoietic stem cell homeostasis,19_GO:0042592 homeostatic process,-3.9,15,7.4,21160,31,177,4,2.3,1.1,14314|59308|83691|245607,Fstl1|Emcn|Crispld1|Gprasp2,-1.2,MyList
GO Biological Processes,19,GO:0050866,negative regulation of cell activation,19_GO:0048519 negative regulation of biological process,-3.9,4.8,5.2,21160,226,177,9,5.1,1.7,14191|14728|20555|20971|57757|208154|240754|242248|246746,Fgr|Lilrb4a|Slfn1|Sdc4|Pglyrp2|Btla|Lax1|Bank1|Cd300lf,-1.2,MyList
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0048518 positive regulation of biological process,-3.9,3.2,4.7,21160,523,177,14,7.9,2,11492|11501|11687|12487|12504|14728|16842|19204|19373|19419|20971|21825|380924|432628,Adam19|Adam8|Alox15|Cd28|Cd4|Lilrb4a|Lef1|Ptafr|Rag1|Rasgrp1|Sdc4|Thbs1|Olfm4|Mfsd2b,-1.2,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-3.9,2.8,4.5,21160,729,177,17,9.6,2.2,12487|12504|12769|12796|14728|15900|16071|16182|16842|18089|18733|19373|19419|20555|26888|240754|242248,Cd28|Cd4|Ccr9|Camp|Lilrb4a|Irf8|Igkc|Il18r1|Lef1|Nkx2-3|Pirb|Rag1|Rasgrp1|Slfn1|Clec4a2|Lax1|Bank1,-1.2,MyList
GO Biological Processes,19,GO:0051250,negative regulation of lymphocyte activation,19_GO:0002376 immune system process,-3.9,5.3,5.3,21160,180,177,8,4.5,1.6,14191|14728|20555|20971|57757|208154|240754|242248,Fgr|Lilrb4a|Slfn1|Sdc4|Pglyrp2|Btla|Lax1|Bank1,-1.2,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-3.8,3,4.6,21160,593,177,15,8.5,2.1,12487|12504|12769|14728|15900|16071|16182|16842|18089|19373|19419|20555|26888|240754|242248,Cd28|Cd4|Ccr9|Lilrb4a|Irf8|Igkc|Il18r1|Lef1|Nkx2-3|Rag1|Rasgrp1|Slfn1|Clec4a2|Lax1|Bank1,-1.2,MyList
GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-3.8,3,4.5,21160,603,177,15,8.5,2.1,11501|12768|14134|14191|14289|17002|17084|19419|20201|20202|216190|233046|244183|246746|414084,Adam8|Ccr1|Fcnb|Fgr|Fpr2|Ltf|Ly86|Rasgrp1|S100a8|S100a9|Appl2|Rasgrp4|Trim30b|Cd300lf|Tnip3,-1.1,MyList
GO Biological Processes,19,GO:0032673,regulation of interleukin-4 production,19_GO:0032501 multicellular organismal process,-3.7,14,7,21160,34,177,4,2.3,1.1,12487|13861|16842|19074,Cd28|Epx|Lef1|Prg2,-1.1,MyList
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0009987 cellular process,-3.7,9.5,6.2,21160,63,177,5,2.8,1.2,20201|20202|21825|68891|76905,S100a8|S100a9|Thbs1|Cd177|Lrg1,-1.1,MyList
GO Biological Processes,19,GO:0070486,leukocyte aggregation,19_GO:0009987 cellular process,-3.7,26,8.5,21160,14,177,3,1.7,0.97,20201|20202|21825,S100a8|S100a9|Thbs1,-1.1,MyList
GO Biological Processes,19,GO:0032815,negative regulation of natural killer cell activation,19_GO:0002376 immune system process,-3.7,26,8.5,21160,14,177,3,1.7,0.97,14191|14728|57757,Fgr|Lilrb4a|Pglyrp2,-1.1,MyList
GO Biological Processes,19,GO:0043903,regulation of biological process involved in symbiotic interaction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.7,9.3,6.1,21160,64,177,5,2.8,1.2,12504|14134|17002|213002|244183,Cd4|Fcnb|Ltf|Ifitm6|Trim30b,-1.1,MyList
GO Biological Processes,19,GO:0030595,leukocyte chemotaxis,19_GO:0040011 locomotion,-3.6,5.7,5.3,21160,146,177,7,4,1.5,11501|12768|12771|17395|20201|20202|245195,Adam8|Ccr1|Ccr3|Mmp9|S100a8|S100a9|Retnlg,-1.1,MyList
GO Biological Processes,19,GO:0019730,antimicrobial humoral response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.6,4.9,5,21160,195,177,8,4.5,1.6,12796|16016|17002|20202|20305|66107|238447|404711,Camp|Ighg2b|Ltf|S100a9|Ccl6|Wfdc21|Igha|Ighg2c,-1.1,MyList
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-3.6,3.2,4.5,21160,491,177,13,7.3,2,11501|12487|12504|12769|15900|16071|16182|16842|18089|18574|18733|19373|246746,Adam8|Cd28|Cd4|Ccr9|Irf8|Igkc|Il18r1|Lef1|Nkx2-3|Pde1b|Pirb|Rag1|Cd300lf,-1,MyList
GO Biological Processes,19,GO:0019731,antibacterial humoral response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.5,6.7,5.4,21160,107,177,6,3.4,1.4,12796|16016|17002|66107|238447|404711,Camp|Ighg2b|Ltf|Wfdc21|Igha|Ighg2c,-1,MyList
GO Biological Processes,19,GO:1903900,regulation of viral life cycle,19_GO:0016032 viral process,-3.4,5.3,5,21160,158,177,7,4,1.5,12504|14134|17002|23962|213002|244183|246728,Cd4|Fcnb|Ltf|Oasl2|Ifitm6|Trim30b|Oas2,-0.89,MyList
GO Biological Processes,19,GO:0045765,regulation of angiogenesis,19_GO:0032502 developmental process,-3.4,3.7,4.5,21160,320,177,10,5.6,1.7,11555|12771|12796|13058|17395|18054|20620|21825|23939|76905,Adrb2|Ccr3|Camp|Cybb|Mmp9|Ngp|Plk2|Thbs1|Mapk7|Lrg1,-0.89,MyList
GO Biological Processes,19,GO:0097237,cellular response to toxic substance,19_GO:0050896 response to stimulus,-3.4,6.3,5.2,21160,114,177,6,3.4,1.4,13861|14871|20201|20202|74104|99382,Epx|Gstt1|S100a8|S100a9|Abcb6|Abtb2,-0.88,MyList
GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-3.4,3.4,4.4,21160,385,177,11,6.2,1.8,11656|14013|14314|14728|18089|18733|19373|19743|59308|83691|245607,Alas2|Mecom|Fstl1|Lilrb4a|Nkx2-3|Pirb|Rag1|Rhag|Emcn|Crispld1|Gprasp2,-0.87,MyList
GO Biological Processes,19,GO:0048525,negative regulation of viral process,19_GO:0016032 viral process,-3.4,6.2,5.2,21160,115,177,6,3.4,1.4,14134|17002|23962|213002|244183|246728,Fcnb|Ltf|Oasl2|Ifitm6|Trim30b|Oas2,-0.87,MyList
GO Biological Processes,19,GO:2000116,regulation of cysteine-type endopeptidase activity,19_GO:0050789 regulation of biological process,-3.4,4.5,4.7,21160,212,177,8,4.5,1.6,15370|17002|17395|19373|20201|20202|21825|22436,Nr4a1|Ltf|Mmp9|Rag1|S100a8|S100a9|Thbs1|Xdh,-0.87,MyList
GO Biological Processes,19,GO:1901342,regulation of vasculature development,19_GO:0032502 developmental process,-3.3,3.7,4.4,21160,327,177,10,5.6,1.7,11555|12771|12796|13058|17395|18054|20620|21825|23939|76905,Adrb2|Ccr3|Camp|Cybb|Mmp9|Ngp|Plk2|Thbs1|Mapk7|Lrg1,-0.86,MyList
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-3.3,3.4,4.3,21160,391,177,11,6.2,1.8,11501|12487|12504|14728|16842|19373|19419|20555|20971|208154|240754,Adam8|Cd28|Cd4|Lilrb4a|Lef1|Rag1|Rasgrp1|Slfn1|Sdc4|Btla|Lax1,-0.84,MyList
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-3.3,3.1,4.2,21160,459,177,12,6.8,1.9,11501|12487|12504|12768|14728|16842|17002|19373|19419|20259|57757|93686,Adam8|Cd28|Cd4|Ccr1|Lilrb4a|Lef1|Ltf|Rag1|Rasgrp1|Scin|Pglyrp2|Rbfox2,-0.82,MyList
GO Biological Processes,19,GO:0035710,"CD4-positive, alpha-beta T cell activation",19_GO:0002376 immune system process,-3.3,7.6,5.4,21160,79,177,5,2.8,1.2,12487|14728|16182|16842|18089,Cd28|Lilrb4a|Il18r1|Lef1|Nkx2-3,-0.81,MyList
GO Biological Processes,19,GO:0035456,response to interferon-beta,19_GO:0050896 response to stimulus,-3.3,7.6,5.4,21160,79,177,5,2.8,1.2,15957|21822|60440|213002|620913,Ifit1|Tgtp1|Iigp1|Ifitm6|Gm12185,-0.81,MyList
GO Biological Processes,19,GO:0002764,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-3.3,3.6,4.3,21160,336,177,10,5.6,1.7,12487|14134|14289|14728|17086|18733|208154|240754|246746|414084,Cd28|Fcnb|Fpr2|Lilrb4a|Ncr1|Pirb|Btla|Lax1|Cd300lf|Tnip3,-0.8,MyList
GO Biological Processes,19,GO:0098754,detoxification,19_GO:0098754 detoxification,-3.2,5.9,5,21160,122,177,6,3.4,1.4,13861|14871|20201|20202|74104|226781,Epx|Gstt1|S100a8|S100a9|Abcb6|Slc30a10,-0.8,MyList
GO Biological Processes,19,GO:0032760,positive regulation of tumor necrosis factor production,19_GO:0048518 positive regulation of biological process,-3.2,5.9,5,21160,122,177,6,3.4,1.4,13058|17394|19204|19419|21825|246728,Cybb|Mmp8|Ptafr|Rasgrp1|Thbs1|Oas2,-0.8,MyList
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-3.2,2.5,4,21160,752,177,16,9,2.2,11501|11555|11687|12504|12768|14013|14289|14728|19419|21825|22436|225884|226781|240754|242248|244183,Adam8|Adrb2|Alox15|Cd4|Ccr1|Mecom|Fpr2|Lilrb4a|Rasgrp1|Thbs1|Xdh|Gstp3|Slc30a10|Lax1|Bank1|Trim30b,-0.79,MyList
GO Biological Processes,19,GO:0019722,calcium-mediated signaling,19_GO:0050896 response to stimulus,-3.2,4.9,4.7,21160,171,177,7,4,1.5,12504|12768|12769|12771|14289|17967|23939,Cd4|Ccr1|Ccr9|Ccr3|Fpr2|Ncam1|Mapk7,-0.79,MyList
GO Biological Processes,19,GO:0002385,mucosal immune response,19_GO:0002376 immune system process,-3.2,7.3,5.2,21160,82,177,5,2.8,1.2,12796|13586|13587|17002|238447,Camp|Ear1|Ear2|Ltf|Igha,-0.79,MyList
GO Biological Processes,19,GO:2000379,positive regulation of reactive oxygen species metabolic process,19_GO:0048518 positive regulation of biological process,-3.2,7.3,5.2,21160,82,177,5,2.8,1.2,14289|16819|21825|22436|68891,Fpr2|Lcn2|Thbs1|Xdh|Cd177,-0.79,MyList
GO Biological Processes,19,GO:0032674,regulation of interleukin-5 production,19_GO:0032501 multicellular organismal process,-3.2,17,6.8,21160,21,177,3,1.7,0.97,13861|14728|16842,Epx|Lilrb4a|Lef1,-0.76,MyList
Reactome Gene Sets,6,R-MMU-140875,Common Pathway of Fibrin Clot Formation,,-3.2,17,6.8,21160,21,177,3,1.7,0.97,19124|68891|74145,Procr|Cd177|F13a1,-0.76,MyList
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-3.2,3.2,4.1,21160,410,177,11,6.2,1.8,12487|12504|12769|14728|16182|16842|18089|19373|19419|20555|26888,Cd28|Cd4|Ccr9|Lilrb4a|Il18r1|Lef1|Nkx2-3|Rag1|Rasgrp1|Slfn1|Clec4a2,-0.76,MyList
GO Biological Processes,19,GO:0043542,endothelial cell migration,19_GO:0009987 cellular process,-3.2,7.1,5.2,21160,84,177,5,2.8,1.2,11501|14314|15370|20201|20202,Adam8|Fstl1|Nr4a1|S100a8|S100a9,-0.76,MyList
GO Biological Processes,19,GO:0046631,alpha-beta T cell activation,19_GO:0002376 immune system process,-3.2,5.6,4.8,21160,127,177,6,3.4,1.4,12487|14728|16182|16842|18089|26888,Cd28|Lilrb4a|Il18r1|Lef1|Nkx2-3|Clec4a2,-0.76,MyList
GO Biological Processes,19,GO:0046596,regulation of viral entry into host cell,19_GO:0016032 viral process,-3.1,9.8,5.6,21160,49,177,4,2.3,1.1,12504|14134|213002|244183,Cd4|Fcnb|Ifitm6|Trim30b,-0.76,MyList
GO Biological Processes,19,GO:0006959,humoral immune response,19_GO:0002376 immune system process,-3.1,3.7,4.3,21160,289,177,9,5.1,1.7,12796|14134|16016|17002|20202|20305|66107|238447|404711,Camp|Fcnb|Ighg2b|Ltf|S100a9|Ccl6|Wfdc21|Igha|Ighg2c,-0.76,MyList
GO Biological Processes,19,GO:0050830,defense response to Gram-positive bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.1,4.7,4.6,21160,178,177,7,4,1.5,12796|13586|13587|14191|17002|17105|57757,Camp|Ear1|Ear2|Fgr|Ltf|Lyz2|Pglyrp2,-0.76,MyList
