Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,,-6.1,56,15,21160,35,43,4,9.3,4.4,245282|328563|626615|101488143,Apol10a|Apol11b|Apol11a|Hbb-bt,-3.5
MyList,GO Biological Processes,19,GO:0048872,homeostasis of number of cells,19_GO:0042592 homeostatic process,-6,10,8.2,21160,385,43,8,19,5.9,11733|13828|13829|15122|19743|20533|20739|110257,Ank1|Epb42|Dmtn|Hba-a1|Rhag|Slc4a1|Spta1|Hba-a2,-3.4
MyList,GO Biological Processes,19,GO:0031333,negative regulation of protein-containing complex assembly,19_GO:0048519 negative regulation of biological process,-6,18,9.9,21160,164,43,6,14,5.3,13829|20617|20739|20741|21916|83433,Dmtn|Snca|Spta1|Sptb|Tmod1|Trem2,-3.4
MyList,GO Biological Processes,19,GO:0030835,negative regulation of actin filament depolymerization,19_GO:0048519 negative regulation of biological process,-5.8,48,14,21160,41,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-3.3
MyList,GO Biological Processes,19,GO:1902904,negative regulation of supramolecular fiber organization,19_GO:0048519 negative regulation of biological process,-5.8,17,9.5,21160,176,43,6,14,5.3,13829|20617|20739|20741|21916|83433,Dmtn|Snca|Spta1|Sptb|Tmod1|Trem2,-3.3
MyList,Reactome Gene Sets,6,R-MMU-1480926,O2/CO2 exchange in erythrocytes,,-5.8,1.2e+02,19,21160,12,43,3,7,3.9,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-3.2
MyList,Reactome Gene Sets,6,R-MMU-1237044,Erythrocytes take up carbon dioxide and release oxygen,,-5.8,1.2e+02,19,21160,12,43,3,7,3.9,19743|20533|101488143,Rhag|Slc4a1|Hbb-bt,-3.2
MyList,GO Biological Processes,19,GO:0042743,hydrogen peroxide metabolic process,19_GO:0009987 cellular process,-5.7,44,13,21160,45,43,4,9.3,4.4,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-3.2
MyList,GO Biological Processes,19,GO:0030834,regulation of actin filament depolymerization,19_GO:0050789 regulation of biological process,-5.3,36,12,21160,55,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-2.8
MyList,GO Biological Processes,19,GO:0030837,negative regulation of actin filament polymerization,19_GO:0048519 negative regulation of biological process,-5.1,32,11,21160,62,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-2.6
MyList,KEGG Pathway,24,mmu05144,Malaria - Mus musculus (house mouse),,-4.7,26,9.7,21160,77,43,4,9.3,4.4,14934|15122|110257|101488143,Gypa|Hba-a1|Hba-a2|Hbb-bt,-2.3
MyList,GO Biological Processes,19,GO:1901880,negative regulation of protein depolymerization,19_GO:0048519 negative regulation of biological process,-4.7,25,9.7,21160,78,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-2.3
MyList,GO Biological Processes,19,GO:0060560,developmental growth involved in morphogenesis,19_GO:0040007 growth,-4.6,14,7.9,21160,171,43,5,12,4.9,14183|15235|50706|71461|245537,Fgfr2|Mst1|Postn|Ptk7|Nlgn3,-2.2
MyList,GO Biological Processes,19,GO:0033014,tetrapyrrole biosynthetic process,19_GO:0009987 cellular process,-4.6,53,12,21160,28,43,3,7,3.9,11733|20739|20741,Ank1|Spta1|Sptb,-2.2
MyList,GO Biological Processes,19,GO:0006779,porphyrin-containing compound biosynthetic process,19_GO:0009987 cellular process,-4.6,53,12,21160,28,43,3,7,3.9,11733|20739|20741,Ank1|Spta1|Sptb,-2.2
MyList,GO Biological Processes,19,GO:0051494,negative regulation of cytoskeleton organization,19_GO:0048519 negative regulation of biological process,-4.6,14,7.8,21160,175,43,5,12,4.9,13829|20617|20739|20741|21916,Dmtn|Snca|Spta1|Sptb|Tmod1,-2.1
MyList,GO Biological Processes,19,GO:0043242,negative regulation of protein-containing complex disassembly,19_GO:0048519 negative regulation of biological process,-4.5,22,9.1,21160,88,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-2.1
MyList,GO Biological Processes,19,GO:0060586,multicellular organismal-level iron ion homeostasis,19_GO:0042592 homeostatic process,-4.3,42,11,21160,35,43,3,7,3.9,11733|13828|19743,Ank1|Epb42|Rhag,-1.9
MyList,GO Biological Processes,19,GO:1901879,regulation of protein depolymerization,19_GO:0050789 regulation of biological process,-4.3,20,8.5,21160,100,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-1.9
MyList,GO Biological Processes,19,GO:0032271,regulation of protein polymerization,19_GO:0050789 regulation of biological process,-4.2,12,7,21160,211,43,5,12,4.9,13829|20617|20739|20741|21916,Dmtn|Snca|Spta1|Sptb|Tmod1,-1.8
MyList,KEGG Pathway,24,mmu05143,African trypanosomiasis - Mus musculus (house mouse),,-4.2,38,10,21160,39,43,3,7,3.9,15122|110257|101488143,Hba-a1|Hba-a2|Hbb-bt,-1.8
MyList,Reactome Gene Sets,6,R-MMU-8957275,Post-translational protein phosphorylation,,-4.1,18,7.9,21160,112,43,4,9.3,4.4,83453|245282|328563|626615,Chrdl1|Apol10a|Apol11b|Apol11a,-1.7
MyList,GO Biological Processes,19,GO:0006778,porphyrin-containing compound metabolic process,19_GO:0009987 cellular process,-4.1,35,10,21160,42,43,3,7,3.9,11733|20739|20741,Ank1|Spta1|Sptb,-1.7
MyList,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-4,6.4,5.7,21160,535,43,7,16,5.6,12373|13829|20739|20741|21916|71461|208943,Casq2|Dmtn|Spta1|Sptb|Tmod1|Ptk7|Myo5c,-1.7
MyList,GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-4,6.4,5.7,21160,536,43,7,16,5.6,11733|12373|13828|13829|19743|20533|140765,Ank1|Casq2|Epb42|Dmtn|Rhag|Slc4a1|Tmprss3,-1.7
MyList,GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,19_GO:0048519 negative regulation of biological process,-4,8,6.1,21160,368,43,6,14,5.3,13829|14183|20617|20739|20741|21916,Dmtn|Fgfr2|Snca|Spta1|Sptb|Tmod1,-1.7
MyList,Reactome Gene Sets,6,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-4,17,7.7,21160,118,43,4,9.3,4.4,83453|245282|328563|626615,Chrdl1|Apol10a|Apol11b|Apol11a,-1.7
MyList,GO Biological Processes,19,GO:0050801,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-4,6.3,5.7,21160,549,43,7,16,5.6,11733|12373|13828|13829|19743|20533|140765,Ank1|Casq2|Epb42|Dmtn|Rhag|Slc4a1|Tmprss3,-1.6
MyList,GO Biological Processes,19,GO:0072593,reactive oxygen species metabolic process,19_GO:0009987 cellular process,-3.9,16,7.5,21160,123,43,4,9.3,4.4,15122|216635|544763|101488143,Hba-a1|Hbq1a|Hbq1b|Hbb-bt,-1.6
MyList,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-3.9,5.3,5.4,21160,748,43,8,19,5.9,20533|20617|20739|20741|83433|83453|245537|276891,Slc4a1|Snca|Spta1|Sptb|Trem2|Chrdl1|Nlgn3|Timd4,-1.6
MyList,GO Biological Processes,19,GO:0051129,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-3.8,5.1,5.2,21160,778,43,8,19,5.9,13829|14183|20617|20739|20741|21916|83433|245537,Dmtn|Fgfr2|Snca|Spta1|Sptb|Tmod1|Trem2|Nlgn3,-1.5
MyList,GO Biological Processes,19,GO:0033013,tetrapyrrole metabolic process,19_GO:0009987 cellular process,-3.8,29,9,21160,51,43,3,7,3.9,11733|20739|20741,Ank1|Spta1|Sptb,-1.5
MyList,GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0009987 cellular process,-3.8,7.3,5.8,21160,402,43,6,14,5.3,14183|20617|20741|83433|83453|245537,Fgfr2|Snca|Sptb|Trem2|Chrdl1|Nlgn3,-1.5
MyList,GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-3.8,7.2,5.7,21160,408,43,6,14,5.3,13829|20617|20739|20741|21916|83433,Dmtn|Snca|Spta1|Sptb|Tmod1|Trem2,-1.5
MyList,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-3.8,5.8,5.4,21160,593,43,7,16,5.6,12373|13829|20739|20741|21916|71461|208943,Casq2|Dmtn|Spta1|Sptb|Tmod1|Ptk7|Myo5c,-1.4
MyList,GO Biological Processes,19,GO:0043244,regulation of protein-containing complex disassembly,19_GO:0050789 regulation of biological process,-3.7,14,7,21160,139,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-1.4
MyList,GO Biological Processes,19,GO:0030833,regulation of actin filament polymerization,19_GO:0050789 regulation of biological process,-3.6,13,6.8,21160,148,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-1.3
MyList,GO Biological Processes,19,GO:0038084,vascular endothelial growth factor signaling pathway,19_GO:0050896 response to stimulus,-3.5,23,8,21160,64,43,3,7,3.9,14183|14205|21687,Fgfr2|Vegfd|Tek,-1.2
MyList,GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-3.5,6.3,5.3,21160,465,43,6,14,5.3,11733|12373|13828|13829|19743|140765,Ank1|Casq2|Epb42|Dmtn|Rhag|Tmprss3,-1.2
MyList,GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,19_GO:0050789 regulation of biological process,-3.5,6.3,5.3,21160,466,43,6,14,5.3,13829|20617|20739|20741|21916|83433,Dmtn|Snca|Spta1|Sptb|Tmod1|Trem2,-1.2
MyList,GO Biological Processes,19,GO:0008064,regulation of actin polymerization or depolymerization,19_GO:0050789 regulation of biological process,-3.4,12,6.3,21160,168,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-1.2
MyList,GO Biological Processes,19,GO:0030832,regulation of actin filament length,19_GO:0050789 regulation of biological process,-3.4,12,6.2,21160,171,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-1.1
MyList,GO Biological Processes,19,GO:0048010,vascular endothelial growth factor receptor signaling pathway,19_GO:0050896 response to stimulus,-3.3,20,7.4,21160,74,43,3,7,3.9,14183|14205|21687,Fgfr2|Vegfd|Tek,-1.1
MyList,GO Biological Processes,19,GO:0001666,response to hypoxia,19_GO:0050896 response to stimulus,-3.3,7.6,5.4,21160,324,43,5,12,4.9,14205|15235|21687|50706|83433,Vegfd|Mst1|Tek|Postn|Trem2,-1.1
MyList,GO Biological Processes,19,GO:0035924,cellular response to vascular endothelial growth factor stimulus,19_GO:0050896 response to stimulus,-3.2,18,6.9,21160,84,43,3,7,3.9,14183|14205|21687,Fgfr2|Vegfd|Tek,-0.93
MyList,GO Biological Processes,19,GO:0022898,regulation of transmembrane transporter activity,19_GO:0051179 localization,-3.2,10,5.7,21160,197,43,4,9.3,4.4,12373|20617|83433|245537,Casq2|Snca|Trem2|Nlgn3,-0.92
MyList,GO Biological Processes,19,GO:0036293,response to decreased oxygen levels,19_GO:0050896 response to stimulus,-3.1,6.8,5,21160,360,43,5,12,4.9,14205|15235|21687|50706|83433,Vegfd|Mst1|Tek|Postn|Trem2,-0.87
MyList,GO Biological Processes,19,GO:0032409,regulation of transporter activity,19_GO:0065007 biological regulation,-3.1,9.5,5.5,21160,208,43,4,9.3,4.4,12373|20617|83433|245537,Casq2|Snca|Trem2|Nlgn3,-0.85
MyList,GO Biological Processes,19,GO:0140962,multicellular organismal-level chemical homeostasis,19_GO:0042592 homeostatic process,-3,16,6.5,21160,93,43,3,7,3.9,11733|13828|19743,Ank1|Epb42|Rhag,-0.82
MyList,Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-3,5.2,4.6,21160,567,43,6,14,5.3,11733|20739|245282|328563|626615|101488143,Ank1|Spta1|Apol10a|Apol11b|Apol11a|Hbb-bt,-0.8
MyList,GO Biological Processes,19,GO:0014823,response to activity,19_GO:0050896 response to stimulus,-3,15,6.3,21160,97,43,3,7,3.9,20533|50706|74183,Slc4a1|Postn|Perm1,-0.78
MyList,GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-2.8,4.8,4.3,21160,618,43,6,14,5.3,14183|20617|20741|83433|83453|245537,Fgfr2|Snca|Sptb|Trem2|Chrdl1|Nlgn3,-0.62
MyList,GO Biological Processes,19,GO:0055082,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-2.8,4.8,4.3,21160,619,43,6,14,5.3,12373|13829|19743|20533|83433|140765,Casq2|Dmtn|Rhag|Slc4a1|Trem2|Tmprss3,-0.62
MyList,GO Biological Processes,19,GO:0033135,regulation of peptidyl-serine phosphorylation,19_GO:0050789 regulation of biological process,-2.8,13,5.9,21160,111,43,3,7,3.9,13829|20617|21687,Dmtn|Snca|Tek,-0.62
MyList,GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-2.8,5.8,4.5,21160,421,43,5,12,4.9,12373|13829|20739|20741|21916,Casq2|Dmtn|Spta1|Sptb|Tmod1,-0.6
MyList,GO Biological Processes,19,GO:0070482,response to oxygen levels,19_GO:0050896 response to stimulus,-2.8,5.8,4.5,21160,426,43,5,12,4.9,14205|15235|21687|50706|83433,Vegfd|Mst1|Tek|Postn|Trem2,-0.58
MyList,KEGG Pathway,24,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),,-2.8,7.7,4.9,21160,254,43,4,9.3,4.4,12373|14183|14205|15235,Casq2|Fgfr2|Vegfd|Mst1,-0.56
MyList,GO Biological Processes,19,GO:0006873,intracellular monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.6,5.4,4.3,21160,459,43,5,12,4.9,12373|13829|19743|20533|140765,Casq2|Dmtn|Rhag|Slc4a1|Tmprss3,-0.45
MyList,GO Biological Processes,19,GO:0001952,regulation of cell-matrix adhesion,19_GO:0050789 regulation of biological process,-2.6,11,5.3,21160,132,43,3,7,3.9,13829|21687|50706,Dmtn|Tek|Postn,-0.43
MyList,GO Biological Processes,19,GO:0034341,response to type II interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.6,11,5.3,21160,132,43,3,7,3.9,15235|20617|24108,Mst1|Snca|Ubd,-0.43
MyList,GO Biological Processes,19,GO:0044344,cellular response to fibroblast growth factor stimulus,19_GO:0050896 response to stimulus,-2.6,11,5.3,21160,133,43,3,7,3.9,14183|21687|50706,Fgfr2|Tek|Postn,-0.42
MyList,GO Biological Processes,19,GO:0022604,regulation of cell morphogenesis,19_GO:0032502 developmental process,-2.6,7,4.6,21160,283,43,4,9.3,4.4,13828|13829|20739|98733,Epb42|Dmtn|Spta1|Obsl1,-0.41
MyList,GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-2.6,6.9,4.5,21160,286,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-0.4
MyList,GO Biological Processes,19,GO:0099173,postsynapse organization,19_GO:0009987 cellular process,-2.6,11,5.2,21160,138,43,3,7,3.9,83433|83453|245537,Trem2|Chrdl1|Nlgn3,-0.39
MyList,GO Biological Processes,19,GO:0071774,response to fibroblast growth factor,19_GO:0050896 response to stimulus,-2.5,11,5.1,21160,140,43,3,7,3.9,14183|21687|50706,Fgfr2|Tek|Postn,-0.37
MyList,GO Biological Processes,19,GO:0008360,regulation of cell shape,19_GO:0032502 developmental process,-2.5,10,5,21160,145,43,3,7,3.9,13828|13829|20739,Epb42|Dmtn|Spta1,-0.34
MyList,GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-2.5,4.9,4,21160,500,43,5,12,4.9,20617|83433|208943|245537|276891,Snca|Trem2|Myo5c|Nlgn3|Timd4,-0.32
MyList,GO Biological Processes,19,GO:0019725,cellular homeostasis,19_GO:0042592 homeostatic process,-2.5,4,3.8,21160,732,43,6,14,5.3,12373|13829|19743|20533|83433|140765,Casq2|Dmtn|Rhag|Slc4a1|Trem2|Tmprss3,-0.31
MyList,GO Biological Processes,19,GO:1901888,regulation of cell junction assembly,19_GO:0050789 regulation of biological process,-2.4,6.3,4.3,21160,311,43,4,9.3,4.4,13829|20617|21687|245537,Dmtn|Snca|Tek|Nlgn3,-0.29
MyList,GO Biological Processes,19,GO:0007009,plasma membrane organization,19_GO:0009987 cellular process,-2.4,9.2,4.7,21160,161,43,3,7,3.9,20533|20739|20741,Slc4a1|Spta1|Sptb,-0.22
MyList,GO Biological Processes,19,GO:0010256,endomembrane system organization,19_GO:0009987 cellular process,-2.3,4.6,3.8,21160,539,43,5,12,4.9,13829|20533|20739|20741|98733,Dmtn|Slc4a1|Spta1|Sptb|Obsl1,-0.2
MyList,GO Biological Processes,19,GO:0090287,regulation of cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.3,5.9,4.1,21160,336,43,4,9.3,4.4,14205|21687|83453|268935,Vegfd|Tek|Chrdl1|Scube3,-0.19
MyList,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-2.3,3.8,3.6,21160,782,43,6,14,5.3,14183|14205|15235|21687|71461|74144,Fgfr2|Vegfd|Mst1|Tek|Ptk7|Robo4,-0.19
MyList,GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-2.3,4.5,3.7,21160,550,43,5,12,4.9,14183|15235|16450|21687|71461,Fgfr2|Mst1|Jag2|Tek|Ptk7,-0.17
MyList,GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-2.3,4.4,3.7,21160,557,43,5,12,4.9,13829|20617|20739|20741|21916,Dmtn|Snca|Spta1|Sptb|Tmod1,-0.15
MyList,GO Biological Processes,19,GO:0002274,myeloid leukocyte activation,19_GO:0002376 immune system process,-2.3,8.5,4.5,21160,174,43,3,7,3.9,20617|24108|83433,Snca|Ubd|Trem2,-0.15
MyList,GO Biological Processes,19,GO:0051650,establishment of vesicle localization,19_GO:0051179 localization,-2.3,8.4,4.5,21160,175,43,3,7,3.9,14183|20617|208943,Fgfr2|Snca|Myo5c,-0.14
MyList,GO Biological Processes,19,GO:0034767,positive regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-2.3,8.4,4.4,21160,176,43,3,7,3.9,20617|83433|245537,Snca|Trem2|Nlgn3,-0.14
MyList,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-2.2,4.3,3.6,21160,567,43,5,12,4.9,14183|14205|21687|50706|83453,Fgfr2|Vegfd|Tek|Postn|Chrdl1,-0.13
MyList,GO Biological Processes,19,GO:0016331,morphogenesis of embryonic epithelium,19_GO:0032502 developmental process,-2.2,8.2,4.4,21160,180,43,3,7,3.9,14183|16450|71461,Fgfr2|Jag2|Ptk7,-0.12
MyList,GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-2.2,5.5,3.9,21160,358,43,4,9.3,4.4,14183|14205|21687|74144,Fgfr2|Vegfd|Tek|Robo4,-0.12
MyList,GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-2.2,4.2,3.6,21160,584,43,5,12,4.9,14183|15235|50706|71461|245537,Fgfr2|Mst1|Postn|Ptk7|Nlgn3,-0.088
MyList,GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-2.2,5.4,3.8,21160,367,43,4,9.3,4.4,12373|20617|83433|245537,Casq2|Snca|Trem2|Nlgn3,-0.088
MyList,GO Biological Processes,19,GO:0032412,regulation of monoatomic ion transmembrane transporter activity,19_GO:0051179 localization,-2.2,7.9,4.3,21160,187,43,3,7,3.9,12373|83433|245537,Casq2|Trem2|Nlgn3,-0.088
MyList,GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-2.2,4.2,3.5,21160,590,43,5,12,4.9,14183|15235|50706|71461|245537,Fgfr2|Mst1|Postn|Ptk7|Nlgn3,-0.079
MyList,GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-2.2,5.3,3.8,21160,371,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,-0.079
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-2.2,4.1,3.5,21160,593,43,5,12,4.9,14183|14205|21687|71461|74144,Fgfr2|Vegfd|Tek|Ptk7|Robo4,-0.076
MyList,GO Biological Processes,19,GO:0051648,vesicle localization,19_GO:0051179 localization,-2.2,7.7,4.2,21160,191,43,3,7,3.9,14183|20617|208943,Fgfr2|Snca|Myo5c,-0.075
MyList,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-2.2,4.1,3.5,21160,596,43,5,12,4.9,14183|14205|21687|50706|83453,Fgfr2|Vegfd|Tek|Postn|Chrdl1,-0.073
MyList,GO Biological Processes,19,GO:0060562,epithelial tube morphogenesis,19_GO:0032502 developmental process,-2.2,5.2,3.7,21160,377,43,4,9.3,4.4,14183|15235|21687|71461,Fgfr2|Mst1|Tek|Ptk7,-0.069
MyList,GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-2.1,4.1,3.5,21160,599,43,5,12,4.9,12373|13829|20617|21916|208943,Casq2|Dmtn|Snca|Tmod1|Myo5c,-0.069
MyList,GO Biological Processes,19,GO:0030534,adult behavior,19_GO:0032501 multicellular organismal process,-2.1,7.5,4.1,21160,197,43,3,7,3.9,20617|21916|245537,Snca|Tmod1|Nlgn3,-0.05
MyList,GO Biological Processes,19,GO:0003205,cardiac chamber development,19_GO:0032502 developmental process,-2.1,7.2,4,21160,204,43,3,7,3.9,14183|21687|71461,Fgfr2|Tek|Ptk7,-0.013
MyList,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-2.1,4,3.4,21160,621,43,5,12,4.9,13829|14205|21687|50706|83433,Dmtn|Vegfd|Tek|Postn|Trem2,-0.013
MyList,Reactome Gene Sets,6,R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,,-2.1,4.9,3.6,21160,400,43,4,9.3,4.4,14183|14205|15235|17444,Fgfr2|Vegfd|Mst1|Grap2,0
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-2.1,3.9,3.3,21160,633,43,5,12,4.9,14183|14205|21687|71461|74144,Fgfr2|Vegfd|Tek|Ptk7|Robo4,0
MyList,GO Biological Processes,19,GO:0062012,regulation of small molecule metabolic process,19_GO:0050789 regulation of biological process,-2,4.8,3.5,21160,406,43,4,9.3,4.4,15235|20533|20617|83433,Mst1|Slc4a1|Snca|Trem2,0
MyList,Reactome Gene Sets,6,R-MMU-382551,Transport of small molecules,,-2,3.9,3.3,21160,638,43,5,12,4.9,12373|13829|19743|20533|101488143,Casq2|Dmtn|Rhag|Slc4a1|Hbb-bt,0
MyList,KEGG Pathway,24,mmu04015,Rap1 signaling pathway - Mus musculus (house mouse),,-2,6.9,3.9,21160,214,43,3,7,3.9,14183|14205|21687,Fgfr2|Vegfd|Tek,0
MyList,GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0065007 biological regulation,-2,4.8,3.5,21160,409,43,4,9.3,4.4,13829|20739|20741|21916,Dmtn|Spta1|Sptb|Tmod1,0
MyList,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-2,3.8,3.3,21160,651,43,5,12,4.9,13829|14205|21687|50706|83433,Dmtn|Vegfd|Tek|Postn|Trem2,0
MyList_MCODE_ALL,GO Biological Processes,19,GO:0048821,erythrocyte development,19_GO:0042592 homeostatic process,-12,1.7e+02,32,21160,56,13,6,46,14,11733|13828|15122|19743|20533|110257,Ank1|Epb42|Hba-a1|Rhag|Slc4a1|Hba-a2,-8.1
